,eval_subj,num_regions,train_dataset,train_ses,train_type,cerebellum,cortex,method,logalpha,R_train,rmse_train,R_cv,rmse_cv,eval_dataset,eval_ses,parcellation,crossed,splitby,type,cv_fold,R_eval,R2_eval,noise_Y_R,noise_Y_R2,noise_X_R,noise_X_R2,noiseceiling_Y,noiseceiling_XY,R_eval_adj,model
1076,sub-04,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,12.0,0.997695583725854,627.936771650688,0.996310375710994,954.381141710916,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0054843232922785,-0.115011689993994,0.0728895613708208,-0.854220877258358,0.163334278833071,-0.673331442333859,0.2699806685131748,0.10911170395957477,0.050263382325239914,
1077,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,0.0,0.999900623799896,128.546117051581,0.996774358303751,827.540767817039,MDTB,all,Icosahedron1002,half,,CondHalf,,0.126330181978927,-0.206976211669108,0.328039169444871,-0.343921661110259,0.407886185262823,-0.184227629474354,0.5727470379188975,0.3657904392430907,0.34536217578659206,
1078,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,2.0,0.999889105967091,136.039543386045,0.996802519843306,818.171799923107,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0912887819632813,-0.24219679116762,0.328039169444871,-0.343921661110259,0.411081872203512,-0.177836255592976,0.5727470379188975,0.36722058211854447,0.24859385995366642,
1079,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,4.0,0.999883586419561,139.846610112042,0.996796733286971,813.839470106837,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0549338293666954,-0.350218659971875,0.328039169444871,-0.343921661110259,0.428207587757719,-0.143584824484562,0.5727470379188975,0.3747917574307549,0.1465716048380407,
1080,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,6.0,0.999865253143083,151.614401867949,0.996904040011809,801.442302774611,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0434984020092328,-0.402396512316371,0.328039169444871,-0.343921661110259,0.435867777586731,-0.128264444826538,0.5727470379188975,0.37812921567545266,0.11503581370069899,
1081,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,8.0,0.999673301953509,233.295668199339,0.997227591709958,777.041239003273,MDTB,all,Icosahedron1002,half,,CondHalf,,0.043545789236385,-0.359873780672557,0.328039169444871,-0.343921661110259,0.43326884495441,-0.13346231009118,0.5727470379188975,0.3770002016513827,0.11550601046270101,
1082,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,10.0,0.998851066481876,430.711820419721,0.996943606448979,847.590390867437,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0469930171477803,-0.262465945127888,0.328039169444871,-0.343921661110259,0.422501823157779,-0.154996353684443,0.5727470379188975,0.3722863778835073,0.1262281403228913,
1083,sub-06,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,12.0,0.997695583725854,627.936771650688,0.996310375710994,954.381141710916,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0494074310742558,-0.20257293469587,0.328039169444871,-0.343921661110259,0.413061387797785,-0.17387722440443,0.5727470379188975,0.3681036736884477,0.1342215104217428,
1084,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,0.0,0.999900623799896,128.546117051581,0.996774358303751,827.540767817039,MDTB,all,Icosahedron1002,half,,CondHalf,,0.138831213736717,-0.0634065082247954,0.131851467625729,-0.736297064748543,0.302840750120517,-0.394318499758966,0.36311357400368416,0.19982491676531944,0.6947642765679951,
1085,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,2.0,0.999889105967091,136.039543386045,0.996802519843306,818.171799923107,MDTB,all,Icosahedron1002,half,,CondHalf,,0.119694822185503,-0.0667570082919031,0.131851467625729,-0.736297064748543,0.295320951562978,-0.409358096874044,0.36311357400368416,0.19732840871046795,0.6065767365566019,
1086,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,4.0,0.999883586419561,139.846610112042,0.996796733286971,813.839470106837,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0933728499940384,-0.0944427318423453,0.131851467625729,-0.736297064748543,0.318414151617231,-0.363171696765538,0.36311357400368416,0.20489844607398391,0.4557030655094559,
1087,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,6.0,0.999865253143083,151.614401867949,0.996904040011809,801.442302774611,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0828269485434945,-0.110701511175081,0.131851467625729,-0.736297064748543,0.334149035696219,-0.331701928607562,0.36311357400368416,0.2099000732783783,0.3946018086122624,
1088,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,8.0,0.999673301953509,233.295668199339,0.997227591709958,777.041239003273,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0818783296307852,-0.107250401167482,0.131851467625729,-0.736297064748543,0.32978313483686,-0.34043373032628,0.36311357400368416,0.2085243159117269,0.39265602801663746,
