train_dataset	eval_dataset	eval_subj	R_eval_adj_L2reg	R_eval_adj_NNLS	R_eval_adj_diff
Language	Social	sub-14	0.8906556519701792	0.9017244346022804	-0.011068782632101204
Language	Social	sub-16	0.9523389904506405	1.1201630494067094	-0.1678240589560689
Language	Social	sub-17	1.041038613534879	0.9948428241457143	0.04619578938916469
Language	Social	sub-18	0.3978066811674688	0.43388030739827393	-0.03607362623080512
Language	Social	sub-19	0.44076796173899935	0.6256402767954387	-0.1848723150564393
Language	Social	sub-20	1.249073138713276	1.113726556719247	0.13534658199402916
Language	Social	sub-21	0.9699329119460023	1.0372360031075896	-0.06730309116158728
Language	Social	sub-22	0.39636440198185324	0.4659056400667215	-0.06954123808486828
Language	Social	sub-24	0.15527084237955752	0.16504668962164273	-0.009775847242085217
Language	Social	sub-25	1.5016587076461358	1.5683755680890938	-0.06671686044295799
Language	Social	sub-26	0.9369783984387134	0.8682111789748388	0.06876721946387465
Language	Social	sub-27	1.3895595359805073	1.401212851827238	-0.011653315846730683
Language	WMFS	sub-01	0.7272781576222737	0.6502025686477501	0.0770755889745236
Language	WMFS	sub-02	0.3666494546358018	0.2091311695802605	0.15751828505554127
Language	WMFS	sub-03	0.6495475250371521	0.6327588925460789	0.016788632491073208
Language	WMFS	sub-04	0.9030062284035618	0.8884082034351611	0.01459802496840068
Language	WMFS	sub-05	0.842656687774633	0.7619863606510857	0.08067032712354727
Language	WMFS	sub-06	0.8620704604435796	0.7885046597197294	0.07356580072385022
Language	WMFS	sub-07	1.0336968178912351	1.0615733775982985	-0.027876559707063375
Language	WMFS	sub-08	0.4941747117816066	0.25653102661454885	0.23764368516705775
Language	WMFS	sub-09	0.6483507330540899	0.6814068861388676	-0.03305615308477772
Language	WMFS	sub-10	0.9636693826415023	0.9984204569472253	-0.034751074305722995
Language	WMFS	sub-11	1.0307093447765936	1.1240737973487085	-0.0933644525721149
Language	WMFS	sub-12	0.1792334461305446	0.0365255605125988	0.14270788561794578
Language	WMFS	sub-13	0.8710014036761576	0.8130147692467207	0.05798663442943697
Language	WMFS	sub-14	0.46378797129418176	0.3008483747406449	0.16293959655353685
Language	WMFS	sub-15	1.1483480585410444	1.2740818254951471	-0.12573376695410277
Language	WMFS	sub-16	0.8925302458026791	0.969420398845097	-0.07689015304241786
Language	Demand	sub-01	0.9104600917904805	0.872830141187271	0.037629950603209505
Language	Demand	sub-02	0.9812329658043033	0.9626088714435609	0.018624094360742416
Language	Demand	sub-05	0.9482850159980059	0.9217650913567808	0.0265199246412251
Language	Demand	sub-06	0.8115901902006436	0.7886516267681184	0.022938563432525205
Language	Demand	sub-07	0.7862996976514123	0.7902420047243418	-0.0039423070729295295
Language	Demand	sub-08	0.7373695041325367	0.723249266113796	0.014120238018740627
Language	Demand	sub-09	0.9056985348634986	0.9159115783836326	-0.010213043520133969
Language	Demand	sub-10	0.7535174291423451	0.7989368006801714	-0.04541937153782627
Language	Demand	sub-11	0.8083525738422598	0.8288549703842737	-0.020502396542013912
Language	Demand	sub-12	0.7520613689108974	0.7787243634487794	-0.026662994537882012
Language	Demand	sub-15	0.5542285952321786	0.5389149368100725	0.01531365842210608
Language	Demand	sub-16	0.7066683335660564	0.7127845517599505	-0.006116218193894074
Language	Demand	sub-17	0.48067533735577267	0.5639589618917566	-0.08328362453598398
Language	Demand	sub-19	0.6723125889247619	0.6630973211795209	0.009215267745240951
Language	Demand	sub-20	0.9311401529154075	0.8997538971513795	0.03138625576402798
Language	Demand	sub-21	0.7209149100397	0.7906906658253982	-0.06977575578569817
Language	Demand	sub-24	0.7104776050408687	0.6951802968908214	0.015297308150047262
Language	Demand	sub-25	0.7668396362976907	0.7114945201591039	0.055345116138586836
Language	Demand	sub-26	0.4723869312761693	0.5531747991631195	-0.0807878678869502
Language	Demand	sub-27	0.6548118550416543	0.6970058395131867	-0.04219398447153244
Language	Demand	sub-29	0.903964297939357	0.917467732275097	-0.013503434335740083
Language	Demand	sub-30	0.947382174782586	0.9018887884110587	0.04549338637152733
Language	Demand	sub-31	0.8927931660110544	0.8920664865267323	0.0007266794843221458
Language	Demand	sub-34	0.8405092614673982	0.8312151895852805	0.009294071882117727
Language	Demand	sub-35	0.6973284186095573	0.670325402184691	0.027003016424866244
Language	Demand	sub-36	0.8042147418359119	0.7288662814110501	0.07534846042486176
Language	Demand	sub-37	0.5025309834766365	0.5430377354623829	-0.04050675198574638
Language	Demand	sub-38	0.9761519077621081	1.0058943461898076	-0.029742438427699414
Language	Demand	sub-39	0.8378897446902792	0.7661860470970864	0.07170369759319284
Language	Demand	sub-41	0.6006214604713996	0.6437449451805488	-0.043123484709149174
Language	Demand	sub-43	0.5920873990551538	0.5874995597073294	0.004587839347824474
Language	Demand	sub-44	0.9377570459601289	0.9332124324079911	0.004544613552137755
Language	Demand	sub-45	0.8425509374736823	0.8388371607156707	0.0037137767580115444
Language	Demand	sub-46	0.9166461190552447	0.8522450759514656	0.06440104310377914
Language	Demand	sub-47	0.7087649680513142	0.7146163533994365	-0.005851385348122351
Language	Demand	sub-48	0.9054989864060341	0.9046081323039673	0.0008908541020667959
Language	Demand	sub-50	0.5495236818461107	0.6020837636606539	-0.05256008181454319
