eval_subj	num_regions	subj_id	mname	R_train	R2_train	logalpha	train_dataset	train_ses	run	cond_num	method	cerebellum	cortex	parcellation	crossed	validate_model	type	add_rest	cortical_cerebellar_act	std_cortex	std_cerebellum	append	eval_dataset	eval_ses	splitby	subj_list	cortical_act	dataset	model	mix_param	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	group_noiseceil_Y_upper	group_noiseceil_Y_lower	noiseceiling_Y	noiseceiling_XY	R_eval_adj	task_code	isbest	extension	group_noiseceil_Y	mean_group_noiseceil_Y
sub-08	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3730869381227616	0.1314980892008452	0.4295419000981783	-0.1409161998036432	0.943452865875267	0.8869057317505338	0.4462432584232371	0.3364144129749968	0.6553944614491172	0.6365944836873266	1.2371927685510304		True		0.3913288356991169	0.3015592619084832
sub-09	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2281134920402527	0.048758444998485	0.4145903206894519	-0.1708193586210962	0.943452865875267	0.8869057317505338	0.3662745201628891	0.2494832054687538	0.6438868850112199	0.625417001862445	0.7564466453346085		True		0.30787886281582144	0.3015592619084832
sub-10	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2582478264893574	0.0659567953030975	0.4449596989293816	-0.110080602141237	0.943452865875267	0.8869057317505338	0.3857592323948106	0.2704842705539769	0.6670529955928401	0.6479185929990905	0.8563750450076711		True		0.3281217514743937	0.3015592619084832
sub-11	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1408237656017947	-0.0010597879483191	0.2166528358973638	-0.5666943282052723	0.943452865875267	0.8869057317505338	0.2281745242829193	0.1038156847195352	0.46545981125910735	0.4521081053546506	0.4669853769722108		True		0.16599510450122723	0.3015592619084832
sub-12	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1398447186927036	-0.0016185522952016	0.2997301539181097	-0.4005396921637802	0.943452865875267	0.8869057317505338	0.2945804793573497	0.1731777448775695	0.547476167443031	0.5317718239087846	0.4637387616870593		True		0.2338791121174596	0.3015592619084832
sub-13	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1518164670099639	0.0052139968578795	0.141606761612117	-0.7167864767757659	0.943452865875267	0.8869057317505338	0.3148698939723957	0.1946199807498714	0.37630673872801823	0.36551238702712596	0.503438249746204		True		0.25474493736113357	0.3015592619084832
sub-14	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2759273625475617	0.0760469087869564	0.3713297760749484	-0.2573404478501033	0.943452865875267	0.8869057317505338	0.480366190533566	0.3741151120809688	0.6093683418712761	0.5918886224812328	0.9150021153430856		True		0.4272406513072674	0.3015592619084832
sub-16	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3168612981783213	0.0994088372049634	0.2568562612155274	-0.4862874775689452	0.943452865875267	0.8869057317505338	0.4835097079082265	0.3776069426833838	0.506809886659216	0.4922720546220306	1.0507430485570095		True		0.4305583252958052	0.3015592619084832
sub-17	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2865642098449322	0.0821175995555153	0.3241912614451613	-0.3516174771096771	0.943452865875267	0.8869057317505338	0.4127707537250824	0.2997884679871279	0.5693779600978258	0.5530453640544828	0.9502749410890199		True		0.35627961085610516	0.3015592619084832
sub-18	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.0919477892060366	-0.0289544197330009	0.5508615659180601	0.1017231318361202	0.943452865875267	0.8869057317505338	0.2073397446297038	0.0823058780640181	0.7422004890311378	0.7209104820058667	0.30490785998123576		True		0.14482281134686095	0.3015592619084832
sub-19	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1202427910184822	-0.0128058184137322	0.7279515876827151	0.4559031753654302	0.943452865875267	0.8869057317505338	0.1997917745961562	0.0745425580943081	0.8532007897808787	0.8287267412227678	0.3987368527748066		True		0.13716716634523216	0.3015592619084832
sub-20	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3375474776411327	0.1112149104887915	0.3962856405324106	-0.2074287189351786	0.943452865875267	0.8869057317505338	0.4674752134284123	0.3598289428772752	0.6295122242914831	0.6114546780142569	1.1193404424221305		True		0.41365207815284377	0.3015592619084832
sub-21	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.295621581155148	0.0872868474410173	0.3972607511225094	-0.2054784977549808	0.943452865875267	0.8869057317505338	0.4393159324899345	0.3288057719629002	0.6302862453857846	0.6122064963280713	0.9803100700149043		True		0.38406085222641734	0.3015592619084832
sub-22	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1358518232052457	-0.0038973885986544	0.3220399137691266	-0.3559201724617471	0.943452865875267	0.8869057317505338	0.2881365342521337	0.166392405212034	0.5674856066625185	0.5512072927417655	0.45049792981146713		True		0.22726446973208386	0.3015592619084832
sub-24	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.0411223099987103	-0.0579616771285051		-1.2250144461360235	0.943452865875267	0.8869057317505338	0.05279530078835	-0.0736554305792213			0.13636560103794804		True		-0.010430064895435652	0.3015592619084832
sub-25	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.4666589548585632	0.1849017681587921	0.6166570802353893	0.2333141604707784	0.943452865875267	0.8869057317505338	0.5278086679968786	0.4271561053015506	0.7852751621154137	0.7627495589053805	1.547486725843573		True		0.4774823866492146	0.3015592619084832
sub-26	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2780554991883608	0.0772614847885059	0.3570840993719074	-0.2858318012561853	0.943452865875267	0.8869057317505338	0.3869779414389364	0.2718016307315669	0.5975651423668447	0.5804239975319031	0.9220592245405639		True		0.3293897860852516	0.3015592619084832
sub-27	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.4006803056966604	0.1472462518961707	0.4915379570285826	-0.0169240859428347	0.943452865875267	0.8869057317505338	0.4950375528893939	0.3904394207925515	0.701097680090715	0.6809867063644416	1.3286950736013485		True		0.4427384868409727	0.3015592619084832
sub-01	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.3612587768199366	0.1262018382422409	0.2937703651551469	-0.4124592696897065	0.6545600161049329	0.3091200322098657	0.5034841094354174	0.401350676664007	0.5420058718825349	0.43850921877094545	0.8029007472651245		True		0.4524173930497122	0.449942010952751
